Character,FighterKind,AssistMove,EnterFunction,SharedEnterWith,Notes,AerialAssistMove
Mario,Ft_Kind_Mario,Neutral Special (Fireball),ftMr_SpecialN_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Dr. Mario,Ft_Kind_DrMario,Down Special (Tornado),ftMr_SpecialLw_Enter,Mario,No fp->kind branch anywhere in ftmariospeciallw.c -- identical for both; any visual difference comes from separate per-character animation data on the same motion-state ID,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Fox,Ft_Kind_Fox,Up Smash,TagAssist_Common_AttackHi4_Enter (mod-owned; mirrors ftCo_AttackHi4.c's doEnter),Zelda; Sheik,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Falco,Ft_Kind_Falco,Neutral Special (Blaster),ftFx_SpecialN_Enter,Fox,Branches on fp->kind inside ftFox_SpecialN_InitializeState for which blaster article to spawn,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Captain Falcon,Ft_Kind_Captain,Neutral Special (Falcon Punch),ftCa_SpecialN_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Ganondorf,Ft_Kind_Ganon,Down Special (Wizard's Foot),ftCa_SpecialLw_Enter,,"Branches on fp->kind internally (case Ft_Kind_Captain / case Ft_Kind_Ganon) for Falcon Kick vs Wizard's Foot; only Ganon is wired to this move, Falcon stays on Neutral Special",Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Zelda,Ft_Kind_Zelda,Up Smash,TagAssist_Common_AttackHi4_Enter (mod-owned; mirrors ftCo_AttackHi4.c's doEnter),Fox; Sheik,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Sheik,Ft_Kind_Seak,Up Smash,TagAssist_Common_AttackHi4_Enter (mod-owned; mirrors ftCo_AttackHi4.c's doEnter),Fox; Zelda,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Donkey Kong,Ft_Kind_Donkey,"Neutral Special (Giant Punch -- thrown instantly uncharged)","TagAssist_Dk_SpecialN_Enter (mod-owned; skips the windup, releases immediately at 0 charge)",,Retail needs a 2nd B press mid-windup to release; ftDk_SpecialN_Enter alone only starts the windup and never throws it for a CPU-frozen assist,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Bowser,Ft_Kind_Koopa,Up Special (Whirling Fortress),ftKp_SpecialHi_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
